qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
6050072818,piano,4,0.75,4
6050072818,piano,5,1,4
6050072818,violin,1,0.5,3
6050072818,violin,2,0.625,3
6050072818,violin,3,0.75,3
6050072818,violin,4,0.875,3
6050072818,violin,5,1,3
6050072818,oboe,1,0,1
6050072818,oboe,2,0,1
6050072818,oboe,3,0.125,1
6050072818,oboe,4,0.125,1
6050072818,oboe,5,0.125,1
6141459621,xylophone,1,0.5,2
6141459621,xylophone,2,0.625,2
6141459621,xylophone,3,1,2
6141459621,xylophone,4,1,2
6141459621,xylophone,5,1,2
6141459621,trumpet,1,0.125,3
6141459621,trumpet,2,0.125,3
6141459621,trumpet,3,0.75,3
6141459621,trumpet,4,1,3
6141459621,trumpet,5,0.625,3
6141459621,piano,1,0.625,2
6141459621,piano,2,0.5,2
6141459621,piano,3,0.75,2
6141459621,piano,4,0.875,2
6141459621,piano,5,1,2
6141459621,violin,1,0,1
6141459621,violin,2,0,1
6141459621,violin,3,0.625,1
6141459621,violin,4,0.25,1
6141459621,violin,5,0.625,1
6141459621,oboe,1,0,3
6141459621,oboe,2,0.25,3
6141459621,oboe,3,0.375,3
6141459621,oboe,4,0.25,3
6141459621,oboe,5,0.5,3
6323213291,xylophone,1,0,1
6323213291,xylophone,2,0,1
6323213291,xylophone,3,0.25,1
6323213291,xylophone,4,1,1
6323213291,xylophone,5,1,1
6323213291,trumpet,1,0,1
6323213291,trumpet,2,0,1
6323213291,trumpet,3,0,1
6323213291,trumpet,4,1,1
6323213291,trumpet,5,1,1
6323213291,piano,1,0,2
6323213291,piano,2,0,2
6323213291,piano,3,0.125,2
6323213291,piano,4,0.875,2
6323213291,piano,5,1,2
6323213291,violin,1,0,2
6323213291,violin,2,0,2
6323213291,violin,3,0.125,2
6323213291,violin,4,0.875,2
6323213291,violin,5,1,2
6323213291,oboe,1,0,2
6323213291,oboe,2,0,2
6323213291,oboe,3,0,2
6323213291,oboe,4,1,2
6323213291,oboe,5,1,2
6444402078,xylophone,1,0,4
6444402078,xylophone,2,0,4
